product_name,price,year_mileage,location
Toyota Raize,Rp 183.000.000,2021 - 15.000-20.000 km,Kemayoran29 Nov
Mazda 2,Rp 207.000.000,2018 - 70.000-75.000 km,Setia BudiHari ini
Mitsubishi Pajero Sport,Rp 225.000.000,2010 - 85.000-90.000 km,Grogol PetamburanHari ini
Toyota Avanza,Rp 147.500.000,2017 - 60.000-65.000 km,Pulo GadungHari ini
Toyota Avanza,Rp 147.500.000,2017 - 60.000-65.000 km,TebetHari ini
Toyota Avanza,Rp 147.500.000,2017 - 60.000-65.000 km,CengkarengHari ini
Toyota Avanza,Rp 147.500.000,2017 - 60.000-65.000 km,KembanganHari ini
Toyota Calya,Rp 109.000.000,2018 - 45.000-50.000 km,KemangHari ini
Toyota Calya,Rp 109.000.000,2018 - 45.000-50.000 km,Kramat JatiHari ini
Toyota Calya,Rp 109.000.000,2018 - 45.000-50.000 km,CiracasHari ini
Toyota Calya,Rp 109.000.000,2018 - 45.000-50.000 km,KembanganHari ini
Mercedes-Benz C250,Rp 285.000.000,2012 - 40.000-45.000 km,CilandakHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,KemangHari ini
Toyota Yaris,Rp 198.000.000,2019 - 15.000-20.000 km,Makasar02 Nov
Nissan Grand livina,Rp 125.000.000,2017 - 50.000-55.000 km,Makasar13 Nov
Toyota Raize,Rp 226.000.000,2021 - 15.000-20.000 km,PancoranKemarin
Nissan Grand livina,Rp 91.000.000,2013 - 85.000-90.000 km,Kebayoran LamaKemarin
BMW X3,Rp 283.000.000,2012 - 35.000-40.000 km,Kalideres5 hari yang lalu
Suzuki XL7,Rp 200.500.000,2020 - 55.000-60.000 km,Cibubur5 hari yang lalu
Mitsubishi Kuda,Rp 55.000.000,2004 - 195.000-200.000 km,Jagakarsa25 Nov
Daihatsu Ayla,Rp 81.000.000,2016 - 70.000-75.000 km,Cempaka PutihKemarin
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,PademanganHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,Pasar ReboHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,Duren SawitHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,CiracasHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,Tanah AbangHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,TamboraHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,KembanganHari ini
Volkswagen Tiguan Allspace,Rp 335.000.000,2018 - 40.000-45.000 km,Cempaka PutihHari ini
Honda BR-V,Rp 169.000.000,2016 - 115.000-120.000 km,PademanganHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 65.000-70.000 km,PademanganHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 65.000-70.000 km,JatinegaraHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 65.000-70.000 km,CilandakHari ini
Honda Brio,Rp 135.000.000,2019 - 75.000-80.000 km,Pancoran4 hari yang lalu
Daihatsu Sigra,Rp 100.500.000,2016 - 35.000-40.000 km,Tambora09 Des
Suzuki Karimun Wagon R,Rp 68.000.000,2014 - 50.000-55.000 km,Tebet02 Nov
Daihatsu Sigra,Rp 90.000.000,2017 - 90.000-95.000 km,Cengkareng05 Okt
Honda HR-V,Rp 217.000.000,2017 - 35.000-40.000 km,Pasar Minggu26 Nov
Nissan Serena,Rp 194.000.000,2017 - 95.000-100.000 km,JagakarsaKemarin
Mercedes-Benz C250,Rp 450.000.000,2015 - 90.000-95.000 km,Tebet30 Nov
Daihatsu Sigra,Rp 101.000.000,2016 - 120.000-125.000 km,Pesanggrahan10 Des
Daihatsu Ayla,Rp 80.000.000,2016 - 65.000-70.000 km,MentengHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 65.000-70.000 km,PalmerahHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 65.000-70.000 km,KembanganHari ini
Honda Brio Satya,Rp 148.000.000,2022 - 25.000-30.000 km,Tanjung DurenHari ini
Honda Brio Satya,Rp 148.000.000,2022 - 25.000-30.000 km,CiracasHari ini
Honda Brio Satya,Rp 148.000.000,2022 - 25.000-30.000 km,Kebayoran BaruHari ini
Honda Brio Satya,Rp 148.000.000,2022 - 25.000-30.000 km,KembanganHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,CilangkapHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,Tanjung BaratHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,KemangHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,Tanjung PriokHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,JatinegaraHari ini
Daihatsu Xenia,Rp 114.500.000,2017 - 85.000-90.000 km,Kebayoran LamaKemarin
Nissan Grand livina,Rp 110.000.000,2017 - 90.000-95.000 km,Pesanggrahan4 hari yang lalu
Toyota Agya,Rp 84.000.000,2014 - 60.000-65.000 km,Jagakarsa09 Des
Toyota Sienta,Rp 169.000.000,2017 - 60.000-65.000 km,Duren Sawit2 hari yang lalu
Mitsubishi Xpander,Rp 180.500.000,2017 - 115.000-120.000 km,Ciracas4 hari yang lalu
Nissan Grand livina,Rp 120.000.000,2017 - 55.000-60.000 km,CibuburKemarin
Toyota Rush,Rp 192.000.000,2018 - 45.000-50.000 km,Matraman2 hari yang lalu
Mitsubishi L300,Rp 100.000.000,2015 - 255.000-260.000 km,Cilandak20 Nov
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,Pasar MingguHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,Kebayoran LamaHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,Tanah AbangHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,Grogol PetamburanHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,CengkarengHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,CibuburHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,PademanganHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,Duren SawitHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,TebetHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,Pasar MingguHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,JagakarsaHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,CilandakHari ini
Honda Freed,Rp 135.000.000,2013 - 95.000-100.000 km,Kelapa Gading28 Okt
Datsun Go+ Panca,Rp 72.000.000,2015 - 65.000-70.000 km,Duren Sawit08 Des
Nissan Serena,Rp 201.000.000,2017 - 95.000-100.000 km,Pasar Minggu07 Des
Honda Brio Satya,Rp 99.000.000,2015 - 55.000-60.000 km,Grogol Petamburan13 Nov
Mazda Biante,Rp 162.000.000,2015 - 70.000-75.000 km,Penjaringan2 hari yang lalu
Honda Brio,Rp 172.500.000,2022 - 0-5.000 km,Duren Sawit5 hari yang lalu
Toyota Calya,Rp 106.000.000,2016 - 50.000-55.000 km,Cengkareng24 Sep
Kia Sportage,Rp 140.000.000,2013 - 135.000-140.000 km,Ciracas5 hari yang lalu
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,Tanah AbangHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,Grogol PetamburanHari ini
Toyota Sienta,Rp 158.000.000,2017 - 115.000-120.000 km,CengkarengHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,Tanjung BaratHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,KemangHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,PademanganHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,Kramat JatiHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,CakungHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,PesanggrahanHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,Pasar MingguHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,Kebayoran LamaHari ini
Suzuki Ignis,Rp 123.000.000,2019 - 90.000-95.000 km,Tanah AbangHari ini
Daihatsu Sigra,Rp 108.000.000,2017 - 20.000-25.000 km,Cilandak15 Okt
Mitsubishi Xpander,Rp 196.000.000,2019 - 85.000-90.000 km,Jagakarsa08 Nov
Daihatsu Ayla,Rp 100.000.000,2018 - 55.000-60.000 km,Cilandak4 hari yang lalu
Daihatsu Ayla,Rp 128.000.000,2020 - 30.000-35.000 km,Cibubur09 Des
Daihatsu Ayla,Rp 86.000.000,2016 - 160.000-165.000 km,Pantai Indah Kapuk3 hari yang lalu
Suzuki Ignis,Rp 102.000.000,2017 - 60.000-65.000 km,Kemayoran2 hari yang lalu
Toyota Rush,Rp 202.000.000,2019 - 50.000-55.000 km,Ciracas2 hari yang lalu
Lexus RX 270,Rp 299.999.000,2011 - 55.000-60.000 km,Jagakarsa3 hari yang lalu
