price,location,brand,type,year,mileage
137000000,Grogol Petamburan,Toyota,Yaris,2015,55.000-60.000
128000000,Setia Budi,Daihatsu,Terios,2015,85.000-90.000
217000000,Kelapa Gading,Mitsubishi,Xpander,2019,35.000-40.000
64000000,Kramat Jati,Daihatsu,Ayla,2016,80.000-85.000
423000000,Jagakarsa,Honda,CR-V,2021,30.000-35.000
180000000,Kalideres,Honda,HR-V,2015,90.000-95.000
81000000,Makasar,Daihatsu,Ayla,2017,75.000-80.000
238000000,Cilandak,Lexus,RX 270,2011,85.000-90.000
140000000,Grogol Petamburan,Honda,Freed,2013,95.000-100.000
140000000,Cengkareng,Honda,Freed,2013,95.000-100.000
85000000,Cilangkap,Toyota,Agya,2014,100.000-105.000
85000000,Tanjung Barat,Toyota,Agya,2014,100.000-105.000
85000000,Kemang,Toyota,Agya,2014,100.000-105.000
85000000,Pademangan,Toyota,Agya,2014,100.000-105.000
85000000,Ciracas,Toyota,Agya,2014,100.000-105.000
85000000,Kebayoran Lama,Toyota,Agya,2014,100.000-105.000
85000000,Tanah Abang,Toyota,Agya,2014,100.000-105.000
85000000,Palmerah,Toyota,Agya,2014,100.000-105.000
85000000,Grogol Petamburan,Toyota,Agya,2014,100.000-105.000
85000000,Cengkareng,Toyota,Agya,2014,100.000-105.000
115500000,Kebayoran Lama,Toyota,Calya,2019,70.000-75.000
202000000,Menteng,Mitsubishi,Xpander,2019,30.000-35.000
89000000,Pancoran,Toyota,Agya,2014,85.000-90.000
123000000,Pasar Minggu,Toyota,Yaris,2013,135.000-140.000
197500000,Tanjung Barat,Mitsubishi,Xpander,2018,60.000-65.000
144000000,Kemayoran,Honda,Mobilio,2017,125.000-130.000
150000000,Kebayoran Baru,Honda,Mobilio,2017,80.000-85.000
175000000,Menteng,Suzuki,SX4,2018,60.000-65.000
200000000,Cilandak,Suzuki,Ertiga,2022,25.000-30.000
134500000,Cilangkap,Toyota,Sienta,2016,70.000-75.000
134500000,Tanjung Barat,Toyota,Sienta,2016,70.000-75.000
134500000,Kemang,Toyota,Sienta,2016,70.000-75.000
134500000,Tanjung Priok,Toyota,Sienta,2016,70.000-75.000
134500000,Jatinegara,Toyota,Sienta,2016,70.000-75.000
134500000,Cipayung,Toyota,Sienta,2016,70.000-75.000
134500000,Pasar Minggu,Toyota,Sienta,2016,70.000-75.000
108000000,Ciracas,Suzuki,Ertiga,2013,60.000-65.000
209000000,Pasar Baru,Suzuki,XL7,2020,20.000-25.000
106000000,Tebet,Toyota,Agya,2018,75.000-80.000
122000000,Kalideres,Daihatsu,Terios,2015,135.000-140.000
192000000,Pasar Minggu,Wuling,Almaz,2019,50.000-55.000
1295000000,Kelapa Gading,Mercedes-Benz,E300,2019,5.000-10.000
161000000,Cakung,Toyota,Sienta,2016,75.000-80.000
100000000,Ciracas,Honda,Brio,2013,100.000-105.000
134500000,Cempaka Putih,Toyota,Sienta,2016,70.000-75.000
134500000,Kalideres,Toyota,Sienta,2016,70.000-75.000
134500000,Grogol Petamburan,Toyota,Sienta,2016,70.000-75.000
134500000,Cengkareng,Toyota,Sienta,2016,70.000-75.000
132500000,Cilangkap,Honda,Mobilio,2016,60.000-65.000
132500000,Pekayon,Honda,Mobilio,2016,60.000-65.000
