product_name,price,year_mileage,location
Mazda 2,Rp 252.000.000,2020 - 60.000-65.000 km,PesanggrahanHari ini
Mazda 2,Rp 252.000.000,2020 - 60.000-65.000 km,Cempaka PutihHari ini
Mazda 2,Rp 252.000.000,2020 - 60.000-65.000 km,TamboraHari ini
Mazda 2,Rp 252.000.000,2020 - 60.000-65.000 km,KembanganHari ini
Honda HR-V,Rp 210.000.000,2018 - 70.000-75.000 km,Duren SawitHari ini
Lexus RX300,Rp 900.000.000,2018 - 45.000-50.000 km,CilandakHari ini
Toyota Raize,Rp 217.000.000,2022 - 10.000-15.000 km,Duren SawitHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,CibuburHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,PekayonHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,KemangHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,Kramat JatiHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,Duren SawitHari ini
Mazda CX-5,Rp 251.000.000,2016 - 55.000-60.000 km,Pasar Minggu01 Nov
Daihatsu Sirion,Rp 106.000.000,2015 - 120.000-125.000 km,Cilandak09 Des
Nissan Evalia,Rp 87.000.000,2013 - 150.000-155.000 km,Ciracas11 Des
Mitsubishi Outlander Sport,Rp 206.000.000,2017 - 35.000-40.000 km,Kembangan13 Nov
Honda HR-V,Rp 213.000.000,2017 - 100.000-105.000 km,MakasarHari ini
Mitsubishi Xpander,Rp 197.500.000,2018 - 60.000-65.000 km,KemayoranHari ini
Toyota Soluna,Rp 50.000.000,2001 - >300.000 km,Pulo Gadung03 Des
Toyota Fortuner,Rp 562.700.000,2023 - 0-5.000 km,Jagakarsa04 Des
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,CakungHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,PesanggrahanHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,Kebayoran LamaHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,PalmerahHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,Grogol PetamburanHari ini
Nissan Grand livina,Rp 117.500.000,2016 - 65.000-70.000 km,CengkarengHari ini
Toyota Fortuner,Rp 358.000.000,2018 - 50.000-55.000 km,CilangkapHari ini
Toyota Fortuner,Rp 358.000.000,2018 - 50.000-55.000 km,Tanjung BaratHari ini
Toyota Fortuner,Rp 358.000.000,2018 - 50.000-55.000 km,CilincingHari ini
Toyota Fortuner,Rp 358.000.000,2018 - 50.000-55.000 km,JatinegaraHari ini
Toyota Fortuner,Rp 358.000.000,2018 - 50.000-55.000 km,CiracasHari ini
Toyota Fortuner,Rp 358.000.000,2018 - 50.000-55.000 km,Pasar MingguHari ini
Honda BR-V,Rp 158.000.000,2017 - 70.000-75.000 km,Kemang3 hari yang lalu
Honda CR-V,Rp 184.000.000,2013 - 85.000-90.000 km,Cempaka Putih12 Des
Honda BR-V,Rp 171.000.000,2017 - 45.000-50.000 km,Pasar Minggu09 Des
Mitsubishi Xpander,Rp 211.000.000,2019 - 95.000-100.000 km,Grogol Petamburan6 hari yang lalu
Honda Brio,Rp 168.000.000,2021 - 70.000-75.000 km,Pasar Rebo3 hari yang lalu
Suzuki Ignis,Rp 126.000.000,2019 - 55.000-60.000 km,Duren SawitKemarin
Toyota Yaris,Rp 206.000.000,2019 - 35.000-40.000 km,JagakarsaKemarin
Toyota Kijang Innova,Rp 239.500.000,2018 - 90.000-95.000 km,CengkarengKemarin
Toyota Fortuner,Rp 358.000.000,2018 - 50.000-55.000 km,Kebayoran LamaHari ini
Toyota Fortuner,Rp 358.000.000,2018 - 50.000-55.000 km,Cempaka PutihHari ini
Toyota Fortuner,Rp 358.000.000,2018 - 50.000-55.000 km,KembanganHari ini
Toyota Fortuner,Rp 358.000.000,2018 - 50.000-55.000 km,Grogol PetamburanHari ini
Toyota Fortuner,Rp 358.000.000,2018 - 50.000-55.000 km,CengkarengHari ini
Toyota Kijang Innova,Rp 260.000.000,2019 - 65.000-70.000 km,Pasar MingguHari ini
Daihatsu Gran max,Rp 97.000.000,2017 - 165.000-170.000 km,TebetHari ini
Mini Cooper,Rp 365.000.000,2010 - 10.000-15.000 km,KemayoranHari ini
Toyota Avanza,Rp 265.000.000,2022 - 5.000-10.000 km,TebetHari ini
Volkswagen Polo,Rp 155.000.000,2017 - 50.000-55.000 km,Kebayoran BaruHari ini
Mercedes-Benz C250,Rp 269.000.000,2012 - 70.000-75.000 km,Setia BudiHari ini
Mercedes-Benz C250,Rp 269.000.000,2012 - 70.000-75.000 km,Kebayoran BaruHari ini
Toyota Etios Valco,Rp 93.000.000,2016 - 85.000-90.000 km,Cengkareng11 Des
Honda Mobilio,Rp 165.000.000,2020 - 15.000-20.000 km,Cengkareng05 Des
Honda Freed,Rp 165.000.000,2015 - 25.000-30.000 km,Tanah Abang12 Des
Suzuki XL7,Rp 242.000.000,2023 - 0-5.000 km,Jagakarsa13 Des
Daihatsu Terios,Rp 198.500.000,2021 - 35.000-40.000 km,CengkarengKemarin
Daihatsu Terios,Rp 235.000.000,2023 - 0-5.000 km,KembanganHari ini
Suzuki XL7,Rp 210.000.000,2021 - 55.000-60.000 km,Kramat Jati29 Okt
Suzuki A-Star,Rp 176.000.000,2019 - 85.000-90.000 km,Kebayoran Lama2 hari yang lalu
Toyota Camry,Rp 125.000.000,2009 - 130.000-135.000 km,KembanganHari ini
Wuling Almaz,Rp 203.000.000,2019 - 45.000-50.000 km,Setia BudiHari ini
Mercedes-Benz S450L,Rp 1.500.000.000,2018 - 15.000-20.000 km,KemayoranHari ini
Mazda 2,Rp 207.000.000,2018 - 70.000-75.000 km,Setia BudiHari ini
Mitsubishi Pajero Sport,Rp 225.000.000,2010 - 85.000-90.000 km,Grogol PetamburanHari ini
Toyota Avanza,Rp 147.500.000,2017 - 60.000-65.000 km,Pulo GadungHari ini
Toyota Avanza,Rp 147.500.000,2017 - 60.000-65.000 km,TebetHari ini
Toyota Avanza,Rp 147.500.000,2017 - 60.000-65.000 km,CengkarengHari ini
Toyota Avanza,Rp 147.500.000,2017 - 60.000-65.000 km,KembanganHari ini
Toyota Calya,Rp 109.000.000,2018 - 45.000-50.000 km,KemangHari ini
Toyota Calya,Rp 109.000.000,2018 - 45.000-50.000 km,Kramat JatiHari ini
Toyota Calya,Rp 109.000.000,2018 - 45.000-50.000 km,CiracasHari ini
Honda City,Rp 191.000.000,2015 - 100.000-105.000 km,Cilandak4 hari yang lalu
Daihatsu Sigra,Rp 104.500.000,2018 - 95.000-100.000 km,Tebet5 hari yang lalu
Toyota Agya,Rp 134.000.000,2022 - 15.000-20.000 km,Cakung6 hari yang lalu
Daihatsu Terios,Rp 128.500.000,2014 - 85.000-90.000 km,Tebet13 Des
Honda Brio Satya,Rp 122.000.000,2017 - 60.000-65.000 km,Cempaka PutihKemarin
Suzuki Ertiga,Rp 143.000.000,2017 - 75.000-80.000 km,Pancoran6 hari yang lalu
Daihatsu Sigra,Rp 128.000.000,2020 - 30.000-35.000 km,Cilandak20 Nov
Toyota Rush,Rp 208.000.000,2018 - 90.000-95.000 km,Pasar Minggu04 Nov
Toyota Calya,Rp 109.000.000,2018 - 45.000-50.000 km,KembanganHari ini
Mercedes-Benz C250,Rp 285.000.000,2012 - 40.000-45.000 km,CilandakHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,KemangHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,PademanganHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,Pasar ReboHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,Duren SawitHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,CiracasHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,Tanah AbangHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,TamboraHari ini
Toyota Avanza,Rp 163.500.000,2018 - 55.000-60.000 km,KembanganHari ini
Volkswagen Tiguan Allspace,Rp 335.000.000,2018 - 40.000-45.000 km,Cempaka PutihHari ini
Honda BR-V,Rp 169.000.000,2016 - 115.000-120.000 km,PademanganHari ini
Mazda 2,Rp 172.000.000,2016 - 70.000-75.000 km,Pancoran13 Des
Toyota Avanza,Rp 245.000.000,2022 - 25.000-30.000 km,Pantai Indah Kapuk08 Nov
Honda HR-V,Rp 292.000.000,2021 - 25.000-30.000 km,Gambir12 Des
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,CilangkapHari ini
Honda CR-V,Rp 318.000.000,2017 - 110.000-115.000 km,Kebayoran Baru27 Nov
Honda Brio Satya,Rp 121.500.000,2018 - 100.000-105.000 km,Palmerah3 hari yang lalu
Suzuki Baleno,Rp 175.000.000,2020 - 40.000-45.000 km,CilangkapHari ini
Toyota Vios,Rp 125.000.000,2014 - 95.000-100.000 km,Grogol Petamburan7 hari yang lalu
Daihatsu Ayla,Rp 80.000.000,2016 - 65.000-70.000 km,PademanganHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 65.000-70.000 km,JatinegaraHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 65.000-70.000 km,CilandakHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 65.000-70.000 km,MentengHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 65.000-70.000 km,PalmerahHari ini
Daihatsu Ayla,Rp 80.000.000,2016 - 65.000-70.000 km,KembanganHari ini
Honda Brio Satya,Rp 148.000.000,2022 - 25.000-30.000 km,Tanjung DurenHari ini
Honda Brio Satya,Rp 148.000.000,2022 - 25.000-30.000 km,CiracasHari ini
Honda Brio Satya,Rp 148.000.000,2022 - 25.000-30.000 km,Kebayoran BaruHari ini
Honda Brio Satya,Rp 148.000.000,2022 - 25.000-30.000 km,KembanganHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,Tanjung BaratHari ini
Honda CR-V,Rp 389.000.000,2019 - 30.000-35.000 km,KemangHari ini
Suzuki Splash,Rp 89.500.000,2014 - 90.000-95.000 km,Ciracas3 hari yang lalu
Toyota Camry,Rp 191.000.000,2014 - 60.000-65.000 km,Tanjung Duren5 hari yang lalu
Wuling Cortez,Rp 128.000.000,2018 - 30.000-35.000 km,Jatinegara07 Des
Honda Mobilio,Rp 134.000.000,2014 - 85.000-90.000 km,Cakung11 Des
Toyota Nav1,Rp 165.000.000,2013 - 85.000-90.000 km,Duren SawitHari ini
Nissan Serena,Rp 152.500.000,2014 - 85.000-90.000 km,Jagakarsa2 hari yang lalu
Toyota Agya,Rp 142.000.000,2022 - 10.000-15.000 km,Pantai Indah Kapuk06 Des
